Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
USER MANAGEMENT,CKB-1,10087,Epic,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,01-04-2026 12:44,01-04-2026 12:44,,,15-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d2dae24,,,,,ghx-label-9,,To Do,,,,orange,,,,,0|i0009r:,,,CKB Sprint 1,01-04-2026 00:00,,,,,,,,,,,,,,To Do,01-04-2026 12:44
TEST CASES FOR PRICE OF THE COURSE,CKB-32,10166,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:06,02-04-2026 10:06,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@717f2142,,,,,,,,,,,,,,,,0|i000gn:,,,CKB Sprint 1,,,,,,,,,,,,10156,CKB-27,WRITE FUNCTIONALITY TEST CASES FOR THE COURSE LISTING PAGE MODULE,To Do,02-04-2026 10:06
TETS CASES FOR COURSE RATING,CKB-33,10168,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:07,02-04-2026 10:07,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@be3420e,,,,,,,,,,,,,,,,0|i000gv:,,,CKB Sprint 1,,,,,,,,,,,,10156,CKB-27,WRITE FUNCTIONALITY TEST CASES FOR THE COURSE LISTING PAGE MODULE,To Do,02-04-2026 10:07
TET SCASES FOR ENROLL BUTTON,CKB-34,10170,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:07,02-04-2026 10:07,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@32485142,,,,,,,,,,,,,,,,0|i000h3:,,,CKB Sprint 1,,,,,,,,,,,,10156,CKB-27,WRITE FUNCTIONALITY TEST CASES FOR THE COURSE LISTING PAGE MODULE,To Do,02-04-2026 10:07
COURSE DETAIL PAGE,CKB-35,10171,Epic,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:08,02-04-2026 10:08,,,16-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@785d2070,,,,,ghx-label-7,,To Do,,,,purple,,,,,0|i000hb:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,,,,To Do,02-04-2026 10:08
COURSE DETAIL PAGE,CKB-36,10172,Story,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:09,02-04-2026 10:09,,,06-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4798646b,,,,,,,,,,,,,,,,0|i000hj:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,10171,CKB-35,COURSE DETAIL PAGE,To Do,02-04-2026 10:09
WRITE FUNCTIONALITY TEST CASES FOR COURSE DETAIL PAGE MODULE,CKB-37,10173,Task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:11,02-04-2026 10:11,02-04-2026 10:11,,06-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@14bddb78,,,,,,,,,,,,,,,,0|i000hr:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,,,,To Do,02-04-2026 10:11
TEST CASES FOR COURSE INFORMATION,CKB-38,10175,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:11,02-04-2026 10:11,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6550e6fd,,,,,,,,,,,,,,,,0|i000hz:,,,CKB Sprint 1,,,,,,,,,,,,10173,CKB-37,WRITE FUNCTIONALITY TEST CASES FOR COURSE DETAIL PAGE MODULE,To Do,02-04-2026 10:11
TEST CASES FOR VIDEO PREVIEW,CKB-39,10177,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:11,02-04-2026 10:11,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7ccf62bd,,,,,,,,,,,,,,,,0|i000i7:,,,CKB Sprint 1,,,,,,,,,,,,10173,CKB-37,WRITE FUNCTIONALITY TEST CASES FOR COURSE DETAIL PAGE MODULE,To Do,02-04-2026 10:11
TEST CASES FOE NROLL NOW BUTTON,CKB-40,10179,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:11,02-04-2026 10:11,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@f28ef5b,,,,,,,,,,,,,,,,0|i000if:,,,CKB Sprint 1,,,,,,,,,,,,10173,CKB-37,WRITE FUNCTIONALITY TEST CASES FOR COURSE DETAIL PAGE MODULE,To Do,02-04-2026 10:11
MY COURSES,CKB-41,10180,Epic,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:12,02-04-2026 10:12,,,16-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1b9e0009,,,,,ghx-label-3,,To Do,,,,yellow,,,,,0|i000in:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,,,,To Do,02-04-2026 10:12
MY COURSES,CKB-42,10181,Story,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:13,02-04-2026 10:13,,,16-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@689c9ffe,,,,,,,,,,,,,,,,0|i000iv:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,10180,CKB-41,MY COURSES,To Do,02-04-2026 10:13
WRITE FUNCTIONALITY TEST CASES FOR MY COURSES MODULE,CKB-43,10182,Task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:16,02-04-2026 10:16,02-04-2026 10:16,,06-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d17afc6,,,,,,,,,,,,,,,,0|i000j3:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,,,,To Do,02-04-2026 10:16
TEST CASES FOR ENROLLED COURSES,CKB-44,10184,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:16,02-04-2026 10:16,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@58b8b44,,,,,,,,,,,,,,,,0|i000jb:,,,CKB Sprint 1,,,,,,,,,,,,10182,CKB-43,WRITE FUNCTIONALITY TEST CASES FOR MY COURSES MODULE,To Do,02-04-2026 10:16
TEST CASES FOR COURSE PROGRESS,CKB-45,10186,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:16,02-04-2026 10:16,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@44dfc401,,,,,,,,,,,,,,,,0|i000jj:,,,CKB Sprint 1,,,,,,,,,,,,10182,CKB-43,WRITE FUNCTIONALITY TEST CASES FOR MY COURSES MODULE,To Do,02-04-2026 10:16
TEST CASES FOR CONTINUE LEARNING,CKB-46,10188,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:16,02-04-2026 10:16,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@265aa569,,,,,,,,,,,,,,,,0|i000jr:,,,CKB Sprint 1,,,,,,,,,,,,10182,CKB-43,WRITE FUNCTIONALITY TEST CASES FOR MY COURSES MODULE,To Do,02-04-2026 10:16
VIDEO PLAYER,CKB-47,10189,Epic,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:17,02-04-2026 10:17,,,06-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@26066308,,,,,ghx-label-3,,To Do,,,,yellow,,,,,0|i000jz:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,,,,To Do,02-04-2026 10:17
VIDEO PLAYER,CKB-48,10190,Story,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:18,02-04-2026 10:18,,,06-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@21db27ff,,,,,,,,,,,,,,,,0|i000k7:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,10189,CKB-47,VIDEO PLAYER,To Do,02-04-2026 10:18
REVIEWS AND RATINGS,CKB-49,10191,Epic,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:18,02-04-2026 10:18,,,06-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6efe4db4,,,,,ghx-label-4,,To Do,,,,dark_blue,,,,,0|i000kf:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,,,,To Do,02-04-2026 10:18
REVIEWS AND RATINGS,CKB-50,10192,Story,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:19,02-04-2026 10:20,,,06-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ab01033,,,,,,,,,,,,,,,,0|i000kn:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,10191,CKB-49,REVIEWS AND RATINGS,To Do,02-04-2026 10:19
WRITE FUNCTIONALITY TEST CASES FOR VIDEO PLAYER MODULE,CKB-51,10193,Task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:21,02-04-2026 10:21,02-04-2026 10:22,,06-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2f1b3696,,,,,,,,,,,,,,,,0|i000kv:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,,,,To Do,02-04-2026 10:21
TEST CASES FOR LECTURE PLAYBACK,CKB-53,10196,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:22,02-04-2026 10:22,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59c63ef8,,,,,,,,,,,,,,,,0|i000lb:,,,CKB Sprint 1,,,,,,,,,,,,10193,CKB-51,WRITE FUNCTIONALITY TEST CASES FOR VIDEO PLAYER MODULE,To Do,02-04-2026 10:22
TEST CASES FOR PROGRESS TRACKING,CKB-54,10198,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:22,02-04-2026 10:22,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d20507d,,,,,,,,,,,,,,,,0|i000lj:,,,CKB Sprint 1,,,,,,,,,,,,10193,CKB-51,WRITE FUNCTIONALITY TEST CASES FOR VIDEO PLAYER MODULE,To Do,02-04-2026 10:22
TEST CASES FOR NEXT LECTURE,CKB-55,10200,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:22,02-04-2026 10:22,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@40bcb761,,,,,,,,,,,,,,,,0|i000lr:,,,CKB Sprint 1,,,,,,,,,,,,10193,CKB-51,WRITE FUNCTIONALITY TEST CASES FOR VIDEO PLAYER MODULE,To Do,02-04-2026 10:22
WRITE FUNCTIONALITY TEST CASES FOR REVIEWS AND RATINGS MODULE,CKB-52,10194,Task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Highest,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:21,02-04-2026 10:21,02-04-2026 10:22,,06-04-2026 00:00,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4885b4b6,,,,,,,,,,,,,,,,0|i000l3:,,,CKB Sprint 1,02-04-2026 00:00,,,,,,,,,,,,,,To Do,02-04-2026 10:21
TEST CASES FOR ADD REVIEW,CKB-56,10202,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:23,02-04-2026 10:23,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2de7faa3,,,,,,,,,,,,,,,,0|i000lz:,,,CKB Sprint 1,,,,,,,,,,,,10194,CKB-52,WRITE FUNCTIONALITY TEST CASES FOR REVIEWS AND RATINGS MODULE,To Do,02-04-2026 10:23
TEST CASES FOR VIEW REVIEWS,CKB-57,10204,Sub-task,To Do,CKB,cr ko batana,software,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,Medium,,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,02-04-2026 10:23,02-04-2026 10:23,,,,0,,,gurlin kaur,712020:ecb6ec76-49f6-49f9-af69-55ec132f0f92,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@409a290f,,,,,,,,,,,,,,,,0|i000m7:,,,CKB Sprint 1,,,,,,,,,,,,10194,CKB-52,WRITE FUNCTIONALITY TEST CASES FOR REVIEWS AND RATINGS MODULE,To Do,02-04-2026 10:23
